# DFT AA Points
# Points count: 38
#
Distance_Å,Delta_d_Å,DFT_Energy_meV_per_atom,CAMP_Energy_meV_per_atom
2.400000,-1.100000,273.193043,80.000000
2.500000,-1.000000,199.663824,73.849308
2.600000,-0.900000,143.320218,68.171503
2.700000,-0.800000,102.015581,62.930229
2.800000,-0.700000,72.770795,528.405974
2.900000,-0.600000,49.515481,331.447060
3.000000,-0.500000,33.300779,209.763726
3.100000,-0.400000,21.227823,134.017483
3.200000,-0.300000,13.389748,86.643333
3.300000,-0.200000,7.827468,56.973896
3.400000,-0.100000,4.560636,38.446751
3.500000,0.000000,3.866073,26.977961
3.599912,0.100000,3.132115,20.000000
3.700697,0.200000,3.033992,15.884416
3.800000,0.300000,3.473638,13.590737
3.900000,0.400000,4.142832,12.450299
4.000000,0.500000,5.044931,12.031633
4.100000,0.600000,5.956726,12.055752
4.199502,0.700000,6.911681,12.342332
4.300000,0.800000,8.364884,12.775228
4.400000,0.900000,9.226415,13.280197
4.500000,1.000000,10.137648,13.810415
4.600000,1.100000,10.934154,14.337008
4.699845,1.200000,11.755923,14.842824
4.800000,1.300000,12.377203,15.318331
4.900000,1.400000,13.045904,15.758902
5.000000,1.500000,13.741294,18.000000
5.099963,1.600000,14.398169,18.000000
5.200000,1.700000,15.061091,18.000000
5.299610,1.800000,15.981023,18.000000
5.400000,1.900000,16.322391,18.000000
5.500000,2.000000,17.206523,18.000000
5.600000,2.100000,17.799674,18.000000
5.700000,2.200000,17.736934,18.000000
5.800000,2.300000,17.882202,18.000000
5.900000,2.400000,17.902550,18.000000
6.000000,2.500000,18.058835,18.000000
6.100000,2.600000,18.058835,18.000000
