# DFT AB Points
# Points count: 38
#
Distance_Å,Delta_d_Å,DFT_Energy_meV_per_atom,CAMP_Energy_meV_per_atom
2.496265,-1.100000,137.254205,60.000000
2.496265,-1.100000,137.254205,55.386981
2.600505,-0.900000,98.258665,51.128627
2.701947,-0.800000,60.332739,47.197672
2.800000,-0.700000,39.864842,355.186280
2.900000,-0.600000,25.415695,211.204954
3.000000,-0.500000,15.400705,124.215126
3.100000,-0.400000,8.327827,71.622624
3.200000,-0.300000,3.883018,39.984925
3.300016,-0.200000,1.509153,21.200321
3.399793,-0.100000,0.361910,10.330798
3.500265,0.000000,0.000000,4.337902
3.599087,0.100000,0.437829,1.337655
3.699856,0.200000,1.257756,0.155338
3.800408,0.300000,2.367842,0.056086
3.900000,0.400000,3.302621,0.579999
4.000000,0.500000,4.654760,1.440173
4.099623,0.600000,5.718328,2.459064
4.200000,0.700000,6.971463,3.528446
4.299925,0.800000,8.148121,4.584051
4.398597,0.900000,9.320188,5.589417
4.500000,1.000000,10.236247,1.000000
4.600000,1.100000,11.154981,1.000000
4.700000,1.200000,11.999397,1.000000
4.800000,1.300000,12.782174,1.000000
4.900000,1.400000,13.389845,1.000000
5.000000,1.500000,14.048311,1.000000
5.100000,1.600000,14.642492,1.000000
5.198640,1.700000,15.288476,1.000000
5.299991,1.800000,15.889896,1.000000
5.400000,1.900000,16.622425,1.000000
5.499787,2.000000,16.976291,1.000000
5.600000,2.100000,17.330165,1.000000
5.700440,2.200000,17.749433,1.000000
5.800000,2.300000,17.935049,1.000000
5.900000,2.400000,17.975538,1.000000
6.000000,2.500000,18.021965,1.000000
6.100000,2.600000,18.021965,1.000000
