#  DFT Points 
# Generated by DFTPointExtractor
# Equilibrium distance (d0): 3.4 Å
#
Stacking_Type,Distance_Å,Delta_d_Å,DFT_Energy_meV_per_atom,CAMP_Energy_meV_per_atom,Energy_Diff_meV,Distance_Diff_Å
AB,2.496265,-1.053735,137.254205,60.000000,77.254205,0.096265
AB,2.496265,-1.053735,137.254205,55.386981,81.867224,0.003735
AB,2.600505,-0.949495,98.258665,51.128627,47.130038,0.000505
AB,2.701947,-0.848053,66.332739,47.197672,19.135067,0.001947
AB,2.800000,-0.750000,43.864842,355.186280,311.321438,0.000000
AB,2.900000,-0.650000,27.815695,211.204954,183.389259,0.000000
AB,3.000000,-0.550000,16.500705,124.215126,107.714421,0.000000
AB,3.100000,-0.450000,9.027827,71.622624,62.594797,0.000000
AB,3.200000,-0.350000,4.283018,39.984925,35.701907,0.000000
AB,3.300016,-0.249984,19.609153,21.200321,1.591168,0.000016
AB,3.399793,-0.150207,89.061910,10.330798,78.731112,0.000207
AB,3.500265,-0.049735,17.074968,4.337902,12.737066,0.000265
AB,3.599087,0.049087,76.737829,1.337655,75.400174,0.000913
AB,3.699856,0.149856,15.257756,0.155338,15.102418,0.000144
AB,3.800408,0.250408,16.667842,0.056086,16.611756,0.000408
AB,3.900000,0.350000,2.902621,0.579999,2.322622,0.000000
AB,4.000000,0.450000,5.054760,1.440173,3.614587,0.000000
AB,4.099623,0.549623,20.718328,2.459064,18.259264,0.000377
AB,4.200000,0.650000,6.471463,3.528446,2.943017,0.000000
AB,4.299925,0.749925,139.748121,4.584051,135.164070,0.000075
AB,4.398597,0.848597,20.420188,5.589417,14.830771,0.001403
AB,4.500000,0.950000,10.636247,1.000000,9.636247,0.000000
AB,4.600000,1.050000,11.554981,1.000000,10.554981,0.000000
AB,4.700000,1.150000,11.399397,1.000000,10.399397,0.000000
AB,4.800000,1.250000,13.182174,1.000000,12.182174,0.000000
AB,4.900000,1.350000,12.889845,1.000000,11.889845,0.000000
AB,5.000000,1.450000,14.548311,1.000000,13.548311,0.000000
AB,5.100000,1.550000,15.142492,1.000000,14.142492,0.000000
AB,5.198640,1.648640,28.488476,1.000000,27.488476,0.001360
AB,5.299991,1.749991,29.289896,1.000000,28.289896,0.000009
AB,5.400000,1.850000,16.622425,1.000000,15.622425,0.000000
AB,5.499787,1.949787,29.476291,1.000000,28.476291,0.000213
AB,5.600000,2.050000,16.390165,1.000000,15.390165,0.000000
AB,5.700440,2.150440,29.849433,1.000000,28.849433,0.000440
AB,5.800000,2.250000,17.035049,1.000000,16.035049,0.000000
AB,5.900000,2.350000,18.325538,1.000000,17.325538,0.000000
AB,6.000000,2.450000,18.581965,1.000000,17.581965,0.000000
AB,6.000000,2.450000,18.581965,1.000000,17.581965,0.100000
AA,2.493898,-1.056102,136.193043,80.000000,56.193043,0.093898
AA,2.500000,-1.050000,138.663824,73.849308,64.814516,0.000000
AA,2.600000,-0.950000,97.320218,68.171503,29.148715,0.000000
AA,2.700000,-0.850000,66.015581,62.930229,3.085352,0.000000
AA,2.800000,-0.750000,43.770795,528.405974,484.635179,0.000000
AA,2.900000,-0.650000,27.815481,331.447060,303.631579,0.000000
AA,3.000000,-0.550000,16.500779,209.763726,193.262947,0.000000
AA,3.100000,-0.450000,9.027823,134.017483,124.989660,0.000000
AA,3.200000,-0.350000,4.789748,86.643333,81.853585,0.000000
AA,3.300000,-0.250000,1.517468,56.973896,55.456428,0.000000
AA,3.400000,-0.150000,0.160636,38.446751,38.286115,0.000000
AA,3.500000,-0.050000,0.566073,26.977961,26.411888,0.000000
AA,3.599912,0.049912,13.292115,20.000000,6.707885,0.000088
AA,3.700697,0.150697,14.813992,15.884416,1.070424,0.000697
AA,3.800000,0.250000,1.773638,13.590737,11.817099,0.000000
AA,3.900000,0.350000,3.842832,12.450299,8.607467,0.000000
AA,4.000000,0.450000,4.344931,12.031633,7.686702,0.000000
AA,4.100000,0.550000,5.556726,12.055752,6.499026,0.000000
AA,4.199502,0.649502,19.911681,12.342332,7.569349,0.000498
AA,4.300000,0.750000,7.864884,12.775228,4.910344,0.000000
AA,4.400000,0.850000,8.926415,13.280197,4.353782,0.000000
AA,4.500000,0.950000,9.637648,13.810415,4.172767,0.000000
AA,4.600000,1.050000,10.834154,14.337008,3.502854,0.000000
AA,4.699845,1.149845,25.805592,14.842824,10.962768,0.000155
AA,4.800000,1.250000,12.177203,15.318331,3.141128,0.000000
AA,4.900000,1.350000,13.895904,15.758902,1.862998,0.000000
AA,5.000000,1.450000,13.541294,18.000000,4.458706,0.000000
AA,5.099963,1.549963,27.898169,18.000000,9.898169,0.000037
AA,5.200000,1.650000,14.961091,18.000000,3.038909,0.000000
AA,5.299610,1.749610,29.581023,18.000000,11.581023,0.000390
AA,5.400000,1.850000,16.622391,18.000000,1.377609,0.000000
AA,5.500000,1.950000,16.306523,18.000000,1.693477,0.000000
AA,5.600000,2.050000,17.399674,18.000000,0.600326,0.000000
AA,5.700000,2.150000,17.736934,18.000000,0.263066,0.000000
AA,5.800000,2.250000,17.322202,18.000000,0.677798,0.000000
AA,5.900000,2.350000,17.602550,18.000000,0.397450,0.000000
AA,6.000000,2.450000,17.858835,18.000000,0.141165,0.000000
AA,6.000000,2.450000,17.858835,18.000000,0.141165,0.100000
