H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (b) g_HH(r)

 Bin no.        r             g(r)        std.
      1 0.0000000E+00 0.0000000E+00 0.0000000E+00
      2 0.7500000E-02 0.0000000E+00 0.0000000E+00
      3 0.3000000E-01 0.0000000E+00 0.0000000E+00
      4 0.5999999E-01 0.0000000E+00 0.0000000E+00
      5 0.9000000E-01 0.0000000E+00 0.0000000E+00
      6 0.1200000     0.0000000E+00 0.0000000E+00
      7 0.1500000     0.0000000E+00 0.0000000E+00
      8 0.1800000     0.0000000E+00 0.0000000E+00
      9 0.2100000     0.0000000E+00 0.0000000E+00
     10 0.2400000     0.0000000E+00 0.0000000E+00
     11 0.2700000     0.0000000E+00 0.0000000E+00
     12 0.3000000     0.0000000E+00 0.0000000E+00
     13 0.3300000     0.0000000E+00 0.0000000E+00
     14 0.3600000     0.0000000E+00 0.0000000E+00
     15 0.3900000     0.0000000E+00 0.0000000E+00
     16 0.4200000     0.0000000E+00 0.0000000E+00
     17 0.4500000     0.0000000E+00 0.0000000E+00
     18 0.4800000     0.0000000E+00 0.0000000E+00
     19 0.5100000     0.0000000E+00 0.0000000E+00
     20 0.5400000     0.0000000E+00 0.0000000E+00
     21 0.5699999     0.0000000E+00 0.0000000E+00
     22 0.5999999     0.0000000E+00 0.0000000E+00
     23 0.6299999     0.0000000E+00 0.0000000E+00
     24 0.6599998     0.0000000E+00 0.0000000E+00
     25 0.6899998     0.0000000E+00 0.0000000E+00
     26 0.7199998     0.0000000E+00 0.0000000E+00
     27 0.7499998     0.0000000E+00 0.0000000E+00
     28 0.7799997     0.0000000E+00 0.0000000E+00
     29 0.8099997     0.0000000E+00 0.0000000E+00
     30 0.8399997     0.0000000E+00 0.0000000E+00
     31 0.8699996     0.0000000E+00 0.0000000E+00
     32 0.8999996     0.0000000E+00 0.0000000E+00
     33 0.9299996     0.0000000E+00 0.0000000E+00
     34 0.9599996     0.0000000E+00 0.0000000E+00
     35 0.9899995     0.0000000E+00 0.0000000E+00
     36  1.020000     0.1036368E-03 0.2590766E-02
     37  1.049999     0.2933800E-03 0.4227543E-02
     38  1.079999     0.8319474E-03 0.6888076E-02
     39  1.109999     0.9626329E-03 0.7197474E-02
     40  1.139999     0.2927009E-02 0.1197683E-01
     41  1.169999     0.1118481E-01 0.2313394E-01
     42  1.199999     0.2446398E-01 0.3342984E-01
     43  1.229999     0.5169925E-01 0.4719693E-01
     44  1.259999     0.1065879     0.7023495E-01
     45  1.289999     0.1755171     0.8357888E-01
     46  1.319999     0.2883879     0.1006980    
     47  1.349999     0.4278022     0.1236981    
     48  1.379999     0.6308838     0.1463811    
     49  1.409999     0.8411580     0.1685939    
     50  1.439999      1.088005     0.1759514    
     51  1.469999      1.303324     0.1986858    
     52  1.499999      1.497660     0.2096507    
     53  1.529999      1.575193     0.1903433    
     54  1.559999      1.585627     0.2032218    
     55  1.589999      1.454442     0.1804568    
     56  1.619999      1.256685     0.1709501    
     57  1.649999      1.035188     0.1533541    
     58  1.679999     0.7875260     0.1338084    
     59  1.709999     0.5685896     0.1138308    
     60  1.739999     0.3765966     0.9003908E-01
     61  1.769999     0.2391089     0.6924489E-01
     62  1.799999     0.1502386     0.5653610E-01
     63  1.829999     0.9355401E-01 0.4507139E-01
     64  1.859999     0.7602010E-01 0.4081571E-01
     65  1.889999     0.7717953E-01 0.4123608E-01
     66  1.919999     0.1034904     0.4696132E-01
     67  1.949999     0.1488952     0.5419778E-01
     68  1.979999     0.2132306     0.6351913E-01
     69  2.009999     0.2994674     0.7323949E-01
     70  2.039999     0.4048496     0.8203543E-01
     71  2.069999     0.5298280     0.9153759E-01
     72  2.099998     0.6674259     0.9982382E-01
     73  2.129998     0.8085749     0.1071544    
     74  2.159998     0.9482648     0.1147622    
     75  2.189998      1.076086     0.1207112    
     76  2.219998      1.186546     0.1261921    
     77  2.249998      1.273997     0.1287397    
     78  2.279998      1.332788     0.1319146    
     79  2.309998      1.365388     0.1303597    
     80  2.339998      1.373305     0.1300195    
     81  2.369998      1.363423     0.1277198    
     82  2.399998      1.335563     0.1226918    
     83  2.429998      1.296581     0.1199369    
     84  2.459998      1.250316     0.1152685    
     85  2.489998      1.199750     0.1124325    
     86  2.519998      1.150708     0.1079781    
     87  2.549998      1.101690     0.1053053    
     88  2.579998      1.053871     0.1013334    
     89  2.609998      1.011921     0.9926531E-01
     90  2.639998     0.9720891     0.9619234E-01
     91  2.669998     0.9386652     0.9375826E-01
     92  2.699998     0.9087810     0.9040294E-01
     93  2.729998     0.8849455     0.8919691E-01
     94  2.759998     0.8644609     0.8681800E-01
     95  2.789998     0.8475776     0.8515365E-01
     96  2.819998     0.8363246     0.8410848E-01
     97  2.849998     0.8276121     0.8259967E-01
     98  2.879998     0.8223756     0.8140543E-01
     99  2.909998     0.8218797     0.8128783E-01
    100  2.939998     0.8231758     0.7994702E-01
    101  2.969998     0.8272012     0.7879882E-01
    102  2.999998     0.8336968     0.7886083E-01
    103  3.029998     0.8418301     0.7806776E-01
    104  3.059998     0.8530362     0.7686359E-01
    105  3.089998     0.8650154     0.7729586E-01
    106  3.119998     0.8780908     0.7728083E-01
    107  3.149997     0.8945155     0.7716621E-01
    108  3.179997     0.9114177     0.7724804E-01
    109  3.209997     0.9272639     0.7573831E-01
    110  3.239997     0.9459593     0.7675224E-01
    111  3.269997     0.9644366     0.7675612E-01
    112  3.299997     0.9837871     0.7717355E-01
    113  3.329997      1.003038     0.7694730E-01
    114  3.359997      1.021412     0.7764747E-01
    115  3.389997      1.040154     0.7743839E-01
    116  3.419997      1.059947     0.7678446E-01
    117  3.449997      1.077827     0.7688686E-01
    118  3.479997      1.096636     0.7780007E-01
    119  3.509997      1.113129     0.7748379E-01
    120  3.539997      1.128214     0.7687988E-01
    121  3.569997      1.141810     0.7663527E-01
    122  3.599997      1.154409     0.7638832E-01
    123  3.629997      1.164592     0.7577647E-01
    124  3.659997      1.172904     0.7577568E-01
    125  3.689997      1.178091     0.7555433E-01
    126  3.719997      1.182080     0.7519452E-01
    127  3.749997      1.182466     0.7461842E-01
    128  3.779997      1.179884     0.7349971E-01
    129  3.809997      1.177113     0.7333084E-01
    130  3.839997      1.172631     0.7235465E-01
    131  3.869997      1.165483     0.7120875E-01
    132  3.899997      1.156603     0.7018948E-01
    133  3.929997      1.147139     0.6955652E-01
    134  3.959997      1.138834     0.6894887E-01
    135  3.989997      1.129205     0.6861351E-01
    136  4.019997      1.120375     0.6706984E-01
    137  4.049997      1.109935     0.6634429E-01
    138  4.079998      1.101244     0.6567791E-01
    139  4.109998      1.091575     0.6471615E-01
    140  4.139998      1.083888     0.6433001E-01
    141  4.169998      1.074754     0.6390052E-01
    142  4.199998      1.066756     0.6339011E-01
    143  4.229999      1.060575     0.6211832E-01
    144  4.259999      1.053990     0.6136629E-01
    145  4.289999      1.046909     0.6046215E-01
    146  4.319999      1.039515     0.5983986E-01
    147  4.349999      1.033324     0.5945113E-01
    148  4.380000      1.025779     0.5969026E-01
    149  4.410000      1.020473     0.5858154E-01
    150  4.440000      1.014246     0.5724148E-01
    151  4.470000      1.008676     0.5692405E-01
    152  4.500000      1.003621     0.5751779E-01
    153  4.530001     0.9972845     0.5548871E-01
    154  4.560001     0.9923058     0.5695074E-01
    155  4.590001     0.9876263     0.5523678E-01
    156  4.620001     0.9830828     0.5537312E-01
    157  4.650002     0.9774433     0.5445759E-01
    158  4.680002     0.9738081     0.5422011E-01
    159  4.710002     0.9696982     0.5361319E-01
    160  4.740002     0.9656724     0.5308978E-01
    161  4.770002     0.9617519     0.5264670E-01
    162  4.800003     0.9588834     0.5266199E-01
    163  4.830003     0.9560559     0.5192625E-01
    164  4.860003     0.9523076     0.5166272E-01
    165  4.890003     0.9503894     0.5051292E-01
    166  4.920003     0.9470458     0.5040189E-01
    167  4.950004     0.9450021     0.4996301E-01
    168  4.980004     0.9441744     0.5031133E-01
    169  5.010004     0.9415208     0.4981366E-01
    170  5.040004     0.9399375     0.4917176E-01
    171  5.070004     0.9392884     0.4874871E-01
    172  5.100005     0.9385980     0.4837251E-01
    173  5.130005     0.9384104     0.4806409E-01
    174  5.160005     0.9381754     0.4817990E-01
    175  5.190005     0.9378251     0.4760680E-01
    176  5.220006     0.9385604     0.4725241E-01
    177  5.250006     0.9388165     0.4749335E-01
    178  5.280006     0.9395169     0.4668069E-01
    179  5.310006     0.9403239     0.4655346E-01
    180  5.340006     0.9405051     0.4711661E-01
    181  5.370007     0.9430553     0.4606112E-01
    182  5.400007     0.9436844     0.4604559E-01
    183  5.430007     0.9455848     0.4574494E-01
    184  5.460007     0.9480916     0.4550915E-01
    185  5.490007     0.9495422     0.4545476E-01
    186  5.520008     0.9520271     0.4516536E-01
    187  5.550008     0.9546982     0.4518910E-01
    188  5.580008     0.9582258     0.4505436E-01
    189  5.610008     0.9606134     0.4470507E-01
    190  5.640008     0.9640061     0.4473640E-01
    191  5.670009     0.9663588     0.4408885E-01
    192  5.700009     0.9698121     0.4407803E-01
    193  5.730009     0.9725759     0.4420226E-01
    194  5.760009     0.9765280     0.4390189E-01
