H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (b) g_OH(r)

 Bin no.        r             g(r)        std.
      1 0.0000000E+00 0.0000000E+00 0.0000000E+00
      2 0.7500000E-02 0.0000000E+00 0.0000000E+00
      3 0.3000000E-01 0.0000000E+00 0.0000000E+00
      4 0.5999999E-01 0.0000000E+00 0.0000000E+00
      5 0.9000000E-01 0.0000000E+00 0.0000000E+00
      6 0.1200000     0.0000000E+00 0.0000000E+00
      7 0.1500000     0.0000000E+00 0.0000000E+00
      8 0.1800000     0.0000000E+00 0.0000000E+00
      9 0.2100000     0.0000000E+00 0.0000000E+00
     10 0.2400000     0.0000000E+00 0.0000000E+00
     11 0.2700000     0.0000000E+00 0.0000000E+00
     12 0.3000000     0.0000000E+00 0.0000000E+00
     13 0.3300000     0.0000000E+00 0.0000000E+00
     14 0.3600000     0.0000000E+00 0.0000000E+00
     15 0.3900000     0.0000000E+00 0.0000000E+00
     16 0.4200000     0.0000000E+00 0.0000000E+00
     17 0.4500000     0.0000000E+00 0.0000000E+00
     18 0.4800000     0.0000000E+00 0.0000000E+00
     19 0.5100000     0.0000000E+00 0.0000000E+00
     20 0.5400000     0.0000000E+00 0.0000000E+00
     21 0.5699999     0.9954517E-03 0.1434434E-01
     22 0.5999999     0.0000000E+00 0.0000000E+00
     23 0.6299999     0.8147849E-03 0.1174088E-01
     24 0.6599998     0.3217502E-02 0.2376536E-01
     25 0.6899998     0.1902012E-01 0.5336642E-01
     26 0.7199998     0.9598480E-01 0.1027421    
     27 0.7499998     0.2459627     0.1717525    
     28 0.7799997     0.6370991     0.2621566    
     29 0.8099997      1.476211     0.3625826    
     30 0.8399997      2.930530     0.4880253    
     31 0.8699996      5.102969     0.6347927    
     32 0.8999996      7.712603     0.7603629    
     33 0.9299996      10.02479     0.8752702    
     34 0.9599996      11.22084     0.7982860    
     35 0.9899995      11.23622     0.8310403    
     36  1.020000      9.708537     0.7609722    
     37  1.049999      7.229695     0.6282873    
     38  1.079999      4.894416     0.5268154    
     39  1.109999      2.829391     0.3872597    
     40  1.139999      1.414571     0.2897771    
     41  1.169999     0.6210966     0.1674051    
     42  1.199999     0.2419597     0.1024116    
     43  1.229999     0.8117650E-01 0.6082075E-01
     44  1.259999     0.2474551E-01 0.3197842E-01
     45  1.289999     0.4601375E-02 0.1495248E-01
     46  1.319999     0.2915731E-02 0.1081235E-01
     47  1.349999     0.3971967E-02 0.1221144E-01
     48  1.379999     0.7409747E-02 0.1638791E-01
     49  1.409999     0.1376712E-01 0.2179896E-01
     50  1.439999     0.2543746E-01 0.2919281E-01
     51  1.469999     0.4554269E-01 0.3855526E-01
     52  1.499999     0.7843671E-01 0.4931962E-01
     53  1.529999     0.1268281     0.6100275E-01
     54  1.559999     0.1946047     0.7545982E-01
     55  1.589999     0.2859010     0.8893528E-01
     56  1.619999     0.3977523     0.1013326    
     57  1.649999     0.5267876     0.1151028    
     58  1.679999     0.6609766     0.1249067    
     59  1.709999     0.7931460     0.1345483    
     60  1.739999     0.9086248     0.1407756    
     61  1.769999      1.002482     0.1447167    
     62  1.799999      1.062461     0.1472482    
     63  1.829999      1.087720     0.1452265    
     64  1.859999      1.083895     0.1422190    
     65  1.889999      1.055068     0.1371714    
     66  1.919999     0.9961722     0.1312074    
     67  1.949999     0.9256514     0.1253569    
     68  1.979999     0.8456144     0.1182337    
     69  2.009999     0.7677983     0.1120406    
     70  2.039999     0.6862373     0.1028574    
     71  2.069999     0.6135192     0.9701787E-01
     72  2.099998     0.5476476     0.9071574E-01
     73  2.129998     0.4880882     0.8484993E-01
     74  2.159998     0.4354208     0.7917208E-01
     75  2.189998     0.3932579     0.7408029E-01
     76  2.219998     0.3558948     0.6981888E-01
     77  2.249998     0.3270623     0.6629784E-01
     78  2.279998     0.3022027     0.6249595E-01
     79  2.309998     0.2846577     0.5998635E-01
     80  2.339998     0.2704001     0.5762973E-01
     81  2.369998     0.2613853     0.5617854E-01
     82  2.399998     0.2564774     0.5529105E-01
     83  2.429998     0.2547893     0.5376605E-01
     84  2.459998     0.2590990     0.5417839E-01
     85  2.489998     0.2667229     0.5444466E-01
     86  2.519998     0.2773702     0.5451256E-01
     87  2.549998     0.2921636     0.5546225E-01
     88  2.579998     0.3119017     0.5628269E-01
     89  2.609998     0.3367654     0.5799644E-01
     90  2.639998     0.3652620     0.5903611E-01
     91  2.669998     0.3979427     0.6130641E-01
     92  2.699998     0.4378978     0.6368023E-01
     93  2.729998     0.4813979     0.6684384E-01
     94  2.759998     0.5323964     0.6841429E-01
     95  2.789998     0.5876545     0.7060625E-01
     96  2.819998     0.6478611     0.7405555E-01
     97  2.849998     0.7148658     0.7627900E-01
     98  2.879998     0.7861112     0.7934232E-01
     99  2.909998     0.8627354     0.8165436E-01
    100  2.939998     0.9434180     0.8440100E-01
    101  2.969998      1.023279     0.8714350E-01
    102  2.999998      1.101768     0.8857360E-01
    103  3.029998      1.183109     0.9109358E-01
    104  3.059998      1.258912     0.9325086E-01
    105  3.089998      1.329407     0.9492958E-01
    106  3.119998      1.392784     0.9481147E-01
    107  3.149997      1.444747     0.9641916E-01
    108  3.179997      1.487025     0.9772093E-01
    109  3.209997      1.517486     0.9778312E-01
    110  3.239997      1.536510     0.9820525E-01
    111  3.269997      1.545696     0.9574796E-01
    112  3.299997      1.547126     0.9665996E-01
    113  3.329997      1.536590     0.9481084E-01
    114  3.359997      1.521497     0.9407116E-01
    115  3.389997      1.500858     0.9196165E-01
    116  3.419997      1.474844     0.9108114E-01
    117  3.449997      1.447244     0.8956867E-01
    118  3.479997      1.419116     0.8700591E-01
    119  3.509997      1.391462     0.8557887E-01
    120  3.539997      1.361433     0.8390343E-01
    121  3.569997      1.332451     0.8261121E-01
    122  3.599997      1.308235     0.8134244E-01
    123  3.629997      1.281236     0.8020011E-01
    124  3.659997      1.257881     0.7874434E-01
    125  3.689997      1.231836     0.7635554E-01
    126  3.719997      1.210544     0.7591400E-01
    127  3.749997      1.187436     0.7403864E-01
    128  3.779997      1.168121     0.7269244E-01
    129  3.809997      1.146755     0.7205417E-01
    130  3.839997      1.127163     0.7039722E-01
    131  3.869997      1.110840     0.6913104E-01
    132  3.899997      1.092605     0.6808504E-01
    133  3.929997      1.075330     0.6751713E-01
    134  3.959997      1.059653     0.6595503E-01
    135  3.989997      1.045129     0.6598846E-01
    136  4.019997      1.031744     0.6512288E-01
    137  4.049997      1.017459     0.6387159E-01
    138  4.079998      1.008554     0.6284238E-01
    139  4.109998     0.9957079     0.6288315E-01
    140  4.139998     0.9865993     0.6143570E-01
    141  4.169998     0.9762554     0.6081993E-01
    142  4.199998     0.9681200     0.6038817E-01
    143  4.229999     0.9606291     0.5932818E-01
    144  4.259999     0.9549670     0.5891534E-01
    145  4.289999     0.9491106     0.5809008E-01
    146  4.319999     0.9441712     0.5744157E-01
    147  4.349999     0.9401053     0.5770815E-01
    148  4.380000     0.9360373     0.5617145E-01
    149  4.410000     0.9326096     0.5632880E-01
    150  4.440000     0.9308553     0.5585967E-01
    151  4.470000     0.9293339     0.5591140E-01
    152  4.500000     0.9271787     0.5503300E-01
    153  4.530001     0.9262412     0.5490505E-01
    154  4.560001     0.9264751     0.5375254E-01
    155  4.590001     0.9258521     0.5355646E-01
    156  4.620001     0.9265096     0.5292618E-01
    157  4.650002     0.9246038     0.5292054E-01
    158  4.680002     0.9262380     0.5283995E-01
    159  4.710002     0.9265071     0.5245161E-01
    160  4.740002     0.9273559     0.5187974E-01
    161  4.770002     0.9285389     0.5194289E-01
    162  4.800003     0.9302714     0.5144478E-01
    163  4.830003     0.9320661     0.5137173E-01
    164  4.860003     0.9341944     0.5078888E-01
    165  4.890003     0.9357840     0.5073369E-01
    166  4.920003     0.9377434     0.5038237E-01
    167  4.950004     0.9398152     0.4992780E-01
    168  4.980004     0.9416149     0.4982981E-01
    169  5.010004     0.9435917     0.4959541E-01
    170  5.040004     0.9468917     0.4902669E-01
    171  5.070004     0.9473482     0.4907105E-01
    172  5.100005     0.9488556     0.4878172E-01
    173  5.130005     0.9507164     0.4809199E-01
    174  5.160005     0.9519514     0.4854594E-01
    175  5.190005     0.9540704     0.4803680E-01
    176  5.220006     0.9547443     0.4823060E-01
    177  5.250006     0.9563464     0.4726880E-01
    178  5.280006     0.9564339     0.4736202E-01
    179  5.310006     0.9592937     0.4733370E-01
    180  5.340006     0.9603106     0.4664747E-01
    181  5.370007     0.9618132     0.4656306E-01
    182  5.400007     0.9638054     0.4667430E-01
    183  5.430007     0.9650973     0.4660913E-01
    184  5.460007     0.9670337     0.4593154E-01
    185  5.490007     0.9691253     0.4537011E-01
    186  5.520008     0.9712854     0.4530700E-01
    187  5.550008     0.9730636     0.4506958E-01
    188  5.580008     0.9752836     0.4525369E-01
    189  5.610008     0.9771852     0.4525171E-01
    190  5.640008     0.9784945     0.4492652E-01
    191  5.670009     0.9806056     0.4489865E-01
    192  5.700009     0.9827271     0.4489931E-01
    193  5.730009     0.9837112     0.4415235E-01
    194  5.760009     0.9851890     0.4398666E-01
    195  5.790009     0.9867817     0.4415369E-01
