H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (b) g_OO(r)

 Bin no.        r             g(r)        std.
      1 0.0000000E+00 0.0000000E+00 0.0000000E+00
      2 0.7500000E-02 0.0000000E+00 0.0000000E+00
      3 0.3000000E-01 0.0000000E+00 0.0000000E+00
      4 0.5999999E-01 0.0000000E+00 0.0000000E+00
      5 0.9000000E-01 0.0000000E+00 0.0000000E+00
      6 0.1200000     0.0000000E+00 0.0000000E+00
      7 0.1500000     0.0000000E+00 0.0000000E+00
      8 0.1800000     0.0000000E+00 0.0000000E+00
      9 0.2100000     0.0000000E+00 0.0000000E+00
     10 0.2400000     0.0000000E+00 0.0000000E+00
     11 0.2700000     0.0000000E+00 0.0000000E+00
     12 0.3000000     0.0000000E+00 0.0000000E+00
     13 0.3300000     0.0000000E+00 0.0000000E+00
     14 0.3600000     0.0000000E+00 0.0000000E+00
     15 0.3900000     0.0000000E+00 0.0000000E+00
     16 0.4200000     0.0000000E+00 0.0000000E+00
     17 0.4500000     0.0000000E+00 0.0000000E+00
     18 0.4800000     0.0000000E+00 0.0000000E+00
     19 0.5100000     0.0000000E+00 0.0000000E+00
     20 0.5400000     0.0000000E+00 0.0000000E+00
     21 0.5699999     0.0000000E+00 0.0000000E+00
     22 0.5999999     0.0000000E+00 0.0000000E+00
     23 0.6299999     0.0000000E+00 0.0000000E+00
     24 0.6599998     0.0000000E+00 0.0000000E+00
     25 0.6899998     0.0000000E+00 0.0000000E+00
     26 0.7199998     0.0000000E+00 0.0000000E+00
     27 0.7499998     0.0000000E+00 0.0000000E+00
     28 0.7799997     0.0000000E+00 0.0000000E+00
     29 0.8099997     0.0000000E+00 0.0000000E+00
     30 0.8399997     0.0000000E+00 0.0000000E+00
     31 0.8699996     0.0000000E+00 0.0000000E+00
     32 0.8999996     0.0000000E+00 0.0000000E+00
     33 0.9299996     0.0000000E+00 0.0000000E+00
     34 0.9599996     0.0000000E+00 0.0000000E+00
     35 0.9899995     0.0000000E+00 0.0000000E+00
     36  1.020000     0.0000000E+00 0.0000000E+00
     37  1.049999     0.0000000E+00 0.0000000E+00
     38  1.079999     0.0000000E+00 0.0000000E+00
     39  1.109999     0.0000000E+00 0.0000000E+00
     40  1.139999     0.0000000E+00 0.0000000E+00
     41  1.169999     0.0000000E+00 0.0000000E+00
     42  1.199999     0.0000000E+00 0.0000000E+00
     43  1.229999     0.0000000E+00 0.0000000E+00
     44  1.259999     0.0000000E+00 0.0000000E+00
     45  1.289999     0.0000000E+00 0.0000000E+00
     46  1.319999     0.0000000E+00 0.0000000E+00
     47  1.349999     0.0000000E+00 0.0000000E+00
     48  1.379999     0.0000000E+00 0.0000000E+00
     49  1.409999     0.0000000E+00 0.0000000E+00
     50  1.439999     0.0000000E+00 0.0000000E+00
     51  1.469999     0.0000000E+00 0.0000000E+00
     52  1.499999     0.0000000E+00 0.0000000E+00
     53  1.529999     0.0000000E+00 0.0000000E+00
     54  1.559999     0.0000000E+00 0.0000000E+00
     55  1.589999     0.0000000E+00 0.0000000E+00
     56  1.619999     0.0000000E+00 0.0000000E+00
     57  1.649999     0.0000000E+00 0.0000000E+00
     58  1.679999     0.0000000E+00 0.0000000E+00
     59  1.709999     0.0000000E+00 0.0000000E+00
     60  1.739999     0.0000000E+00 0.0000000E+00
     61  1.769999     0.0000000E+00 0.0000000E+00
     62  1.799999     0.0000000E+00 0.0000000E+00
     63  1.829999     0.0000000E+00 0.0000000E+00
     64  1.859999     0.0000000E+00 0.0000000E+00
     65  1.889999     0.0000000E+00 0.0000000E+00
     66  1.919999     0.0000000E+00 0.0000000E+00
     67  1.949999     0.0000000E+00 0.0000000E+00
     68  1.979999     0.0000000E+00 0.0000000E+00
     69  2.009999     0.0000000E+00 0.0000000E+00
     70  2.039999     0.0000000E+00 0.0000000E+00
     71  2.069999     0.0000000E+00 0.0000000E+00
     72  2.099998     0.0000000E+00 0.0000000E+00
     73  2.129998     0.0000000E+00 0.0000000E+00
     74  2.159998     0.0000000E+00 0.0000000E+00
     75  2.189998     0.0000000E+00 0.0000000E+00
     76  2.219998     0.0000000E+00 0.0000000E+00
     77  2.249998     0.0000000E+00 0.0000000E+00
     78  2.279998     0.0000000E+00 0.0000000E+00
     79  2.309998     0.0000000E+00 0.0000000E+00
     80  2.339998     0.0000000E+00 0.0000000E+00
     81  2.369998     0.0000000E+00 0.0000000E+00
     82  2.399998     0.1498209E-05 0.2650421E-03
     83  2.429998     0.1402455E-03 0.2528315E-02
     84  2.459998     0.1040653E-02 0.6827809E-02
     85  2.489998     0.5747964E-02 0.1588493E-01
     86  2.519998     0.2573371E-01 0.3297519E-01
     87  2.549998     0.8523266E-01 0.5949835E-01
     88  2.579998     0.2286274     0.9754203E-01
     89  2.609998     0.4937513     0.1413848    
     90  2.639998     0.9013941     0.1853171    
     91  2.669998      1.420304     0.2246014    
     92  2.699998      1.966647     0.2638603    
     93  2.729998      2.442713     0.2839262    
     94  2.759998      2.775981     0.2989151    
     95  2.789998      2.935335     0.3047986    
     96  2.819998      2.918208     0.3042427    
     97  2.849998      2.791311     0.2961980    
     98  2.879998      2.578151     0.2800573    
     99  2.909998      2.338581     0.2657067    
    100  2.939998      2.102078     0.2496622    
    101  2.969998      1.873562     0.2384788    
    102  2.999998      1.683776     0.2218259    
    103  3.029998      1.531024     0.2086875    
    104  3.059998      1.401738     0.1993952    
    105  3.089998      1.301118     0.1895230    
    106  3.119998      1.222595     0.1806905    
    107  3.149997      1.163327     0.1774404    
    108  3.179997      1.112835     0.1723159    
    109  3.209997      1.077089     0.1657141    
    110  3.239997      1.046517     0.1616687    
    111  3.269997      1.022017     0.1585317    
    112  3.299997      1.008062     0.1542408    
    113  3.329997     0.9872433     0.1531918    
    114  3.359997     0.9757604     0.1512250    
    115  3.389997     0.9677777     0.1486125    
    116  3.419997     0.9610015     0.1476474    
    117  3.449997     0.9524229     0.1431058    
    118  3.479997     0.9514406     0.1435310    
    119  3.509997     0.9463933     0.1409186    
    120  3.539997     0.9430443     0.1389158    
    121  3.569997     0.9425002     0.1404675    
    122  3.599997     0.9450669     0.1385334    
    123  3.629997     0.9415638     0.1368497    
    124  3.659997     0.9472567     0.1359138    
    125  3.689997     0.9515243     0.1360619    
    126  3.719997     0.9551995     0.1348742    
    127  3.749997     0.9619352     0.1335728    
    128  3.779997     0.9658755     0.1330311    
    129  3.809997     0.9768693     0.1330833    
    130  3.839997     0.9846096     0.1325591    
    131  3.869997     0.9937983     0.1321807    
    132  3.899997      1.004176     0.1318178    
    133  3.929997      1.016724     0.1303505    
    134  3.959997      1.026341     0.1298365    
    135  3.989997      1.037867     0.1314701    
    136  4.019997      1.046406     0.1309923    
    137  4.049997      1.058252     0.1300291    
    138  4.079998      1.070592     0.1287684    
    139  4.109998      1.079309     0.1305671    
    140  4.139998      1.088160     0.1287744    
    141  4.169998      1.095480     0.1273151    
    142  4.199998      1.101957     0.1272991    
    143  4.229999      1.105354     0.1266542    
    144  4.259999      1.109840     0.1268197    
    145  4.289999      1.109335     0.1255680    
    146  4.319999      1.107598     0.1231292    
    147  4.349999      1.107031     0.1241046    
    148  4.380000      1.103039     0.1219091    
    149  4.410000      1.096730     0.1232917    
    150  4.440000      1.088014     0.1200556    
    151  4.470000      1.082314     0.1199891    
    152  4.500000      1.069576     0.1167620    
    153  4.530001      1.059832     0.1165638    
    154  4.560001      1.051170     0.1140385    
    155  4.590001      1.038577     0.1139904    
    156  4.620001      1.024468     0.1127094    
    157  4.650002      1.013041     0.1100449    
    158  4.680002     0.9992346     0.1099766    
    159  4.710002     0.9887581     0.1095093    
    160  4.740002     0.9755995     0.1064526    
    161  4.770002     0.9612190     0.1059947    
    162  4.800003     0.9512327     0.1042823    
    163  4.830003     0.9398867     0.1020937    
    164  4.860003     0.9280972     0.1010893    
    165  4.890003     0.9183510     0.1000363    
    166  4.920003     0.9097633     0.9936254E-01
    167  4.950004     0.9031096     0.9791226E-01
    168  4.980004     0.8941608     0.9608383E-01
    169  5.010004     0.8877469     0.9676503E-01
    170  5.040004     0.8830360     0.9373251E-01
    171  5.070004     0.8780793     0.9516569E-01
    172  5.100005     0.8745153     0.9329622E-01
    173  5.130005     0.8732647     0.9311685E-01
    174  5.160005     0.8701987     0.9308548E-01
    175  5.190005     0.8718941     0.9161196E-01
    176  5.220006     0.8721337     0.9105005E-01
    177  5.250006     0.8738991     0.9099079E-01
    178  5.280006     0.8763175     0.9114329E-01
    179  5.310006     0.8811505     0.9040359E-01
    180  5.340006     0.8851483     0.8977904E-01
    181  5.370007     0.8903077     0.9005646E-01
    182  5.400007     0.8966193     0.8913407E-01
    183  5.430007     0.9022835     0.8911032E-01
    184  5.460007     0.9077245     0.8846317E-01
    185  5.490007     0.9154298     0.8833978E-01
    186  5.520008     0.9179589     0.8916750E-01
    187  5.550008     0.9259727     0.8805188E-01
    188  5.580008     0.9310014     0.8976875E-01
    189  5.610008     0.9358354     0.8807287E-01
    190  5.640008     0.9410317     0.8918253E-01
    191  5.670009     0.9447057     0.8755769E-01
    192  5.700009     0.9523821     0.8836912E-01
